Location,BHK,Area,Property_Type,Price,Status
Gurgaon,2,1100,Apartment,7500000,Available
Gurgaon,3,1500,Apartment,12000000,Available
Gurgaon,4,2200,Villa,21000000,Sold
Gurgaon,3,1800,Apartment,14500000,Available
Noida,2,1000,Apartment,6500000,Available
Noida,3,1400,Apartment,8500000,Sold
Noida,4,2000,Villa,16000000,Available
Noida,2,900,Flat,5800000,Available
Delhi,2,950,Flat,8000000,Sold
Delhi,3,1400,Apartment,13500000,Available
Delhi,4,2100,House,22000000,Available
Delhi,2,1000,Apartment,9000000,Available
Faridabad,2,1000,Flat,4500000,Available
Faridabad,3,1500,Apartment,6500000,Available
Faridabad,4,2000,House,9500000,Sold
Faridabad,2,900,Flat,4200000,Available
Gurgaon,3,1600,Apartment,13000000,Sold
Noida,3,1500,Apartment,9200000,Available
Delhi,3,1600,Apartment,15000000,Available
Faridabad,3,1400,Apartment,6000000,Available
Delhi,2,700,Flat,6000000,Available
Delhi,2,700,Flat,6000000,Available
Delhi,2,1000,Apartment,5000000,Available
Delhi,2,1000,Apartment,5000000,Available
Delhi,2,1000,Apartment,5000000,Available
Delhi,2,1000,Apartment,5000000,Available
Delhi,2,1000,Apartment,5000000,Available
Delhi,2,1000,Apartment,5000000,Available
Gurgaon,3,1800,Apartment,15000000,Available
